acceptedTaxonKey,accepetedTaxonName,TropicosNameID,FullNameWithAuthors,taxonRank,id_name_APD,taxonid_IUCN,redlistCategory,redlistCriteria,yearPublished,EOO,AOO,elevation_upper,elevation_lower,assessmentDate,assessor,reviewer,populationTrend
90,Afraegle paniculata,50070443,Afraegle paniculata (Schumach. & Thonn.) Engl.,Species,90357,,,,,,,,,,,,
128,Afrostyrax kamerunensis,30800117,Afrostyrax kamerunensis Perkins & Gilg,Species,48783,116858214,LC,,2022,1070287,604,,,17/05/2021,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Onana, J.-M., Texier, N. & Stévart, T.",Stable
129,Afrostyrax lepidophyllus,30800137,Afrostyrax lepidophyllus Mildbr.,Species,48784,32192,LC,,2022,2701543,1212,NA,NA,17/05/2021,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Onana, J.-M., Texier, N. & Stévart, T.",Stable
130,Afrostyrax macranthus,50329531,Afrostyrax macranthus Mildbr.,Species,48785,,,,,,,,,,,,
136,Afrotrewia kamerunica,50239584,Afrotrewia kamerunica Pax & K. Hoffm.,Species,107962,110081019,EN,"B2ab(i,ii,iii)",2020,24154,24,280,10,27/01/2020,"Cheek, M. & Lovell, R.","Onana, J.-M.",Unknown
138,Afzelia bella,13050652,Afzelia bella Harms,Species,177078,60757654,LC,NA,2019,5014355,NA,800,0,30/01/2019,"Hills, R.","Onana, J.-M.",Stable
139,Afzelia bella var. bella,13072260,Afzelia bella var. bella ,Variety,,,,,,,,,,,,,
140,Afzelia bipindensis,13050653,Afzelia bipindensis Harms,Species,68435,33033,VU,A1cd,1998,NA,NA,NA,NA,01/01/1998,"African Regional Workshop (Conservation & Sustainable Management of Trees, Zimbabwe, July 1996)",0,NA
141,Afzelia pachyloba,13050655,Afzelia pachyloba Harms,Species,68436,33034,VU,A1d,1998,NA,NA,NA,NA,01/01/1998,"African Regional Workshop (Conservation & Sustainable Management of Trees, Zimbabwe, July 1996)",0,NA
162,Aidia micrantha,27908846,Aidia micrantha (K. Schum.) Bullock ex F. White,Species,177574,153945337,LC,NA,2020,5905713.04,2168.00,NA,NA,12/06/2018,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Timberlake, J.R.",Stable
163,Aidia micrantha var. congolana,27910028,Aidia micrantha var. congolana (De Wild. & T. Durand) E.M.A. Petit,Variety,,,,,,,,,,,,,
164,Aidia micrantha var. micrantha,50046251,Aidia micrantha var. micrantha ,Variety,,,,,,,,,,,,,
165,Aidia micrantha var. zenkeri,50046250,Aidia micrantha var. zenkeri (S. Moore) E.M.A. Petit,Variety,,,,,,,,,,,,,
166,Aidia ochroleuca,50046256,Aidia ochroleuca (K. Schum.) E.M.A. Petit,Species,88443,143710430,LC,NA,2019,1594670.43,204.00,NA,NA,12/06/2018,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Timberlake, J.R.",Stable
185,Albizia adianthifolia,13054859,Albizia adianthifolia (Schumach.) W. Wight,Species,,19892474,LC,NA,2012,12000000,NA,1700,0,30/09/2009,"Contu, S.","Hilton-Taylor, C.",Stable
186,Albizia adianthifolia var. adianthifolia,50054145,,Variety,,,,,,,,,,,,,
187,Albizia adianthifolia var. intermedia,50054144,,Variety,,,,,,,,,,,,,
189,Albizia ferruginea,13025029,Albizia ferruginea (Guill. & Perr.) Benth.,Species,62326,33035,NT,NA,2021,5580703,NA,1220,0,30/01/2020,"Hills, R. & Doucet, J.","StÈvart, T. & van der Burgt, X.",Decreasing
190,Albizia glaberrima,13025034,Albizia glaberrima (Schumach. & Thonn.) Benth.,Species,,144276798,LC,NA,2019,10674583.28,852.00,NA,NA,12/06/2018,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Oldfield, S.",Stable
191,Albizia laurentii,13054855,Albizia laurentii De Wild.,Species,62333,204797901,LC,,2022,400476,116,,,17/05/2021,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Onana, J.-M., Texier, N. & Stévart, T.",Stable
193,Albizia zygia,13054896,Albizia zygia (DC.) J.F. Macbr.,Species,62343,60758247,LC,NA,2019,8431446,NA,1400,NA,04/02/2019,"Hills, R.","Onana, J.-M.",Decreasing
197,Alchornea glabrata,12802950,Alchornea glabrata (Müll. Arg.) Prain,Species,,,,,,,,,,,,,
198,Alchornea hirtella,12802948,Alchornea hirtella Benth.,Species,,146448511,LC,NA,2020,11503061.74,780.00,NA,NA,12/06/2018,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"von Staden, L. & Hilton-Taylor, C.",Stable
205,Allanblackia floribunda,7801289,Allanblackia floribunda Oliv.,Species,8128,68044590,LC,NA,2018,2901343.48,448.00,NA,NA,12/06/2018,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Vroh, B.",Stable
206,Allanblackia gabonensis,50331493,Allanblackia gabonensis (Pellegr.) Bamps,Species,8129,45460,VU,A2c,2004,NA,NA,NA,NA,30/04/2004,"Cheek, M.","Hilton-Taylor, C. & Pollock, C.M. (Red List Programme Office)",Decreasing
207,Allanblackia staneriana,50331479,Allanblackia staneriana Exell & Mendonça,Species,8134,,,,,,,,,,,,
209,Allexis obanensis,33801095,Allexis obanensis (Baker f.) Melch.,Species,123641,32734,EN,"B2ab(i,ii,iii,iv,v)",2021,20330,16,350,10,24/07/2020,"Paradis, A.-H. & StÈvart, T.","Lachenaud, O., Bidault, E., Texier, N., Simo-Droissart, M., Ikabanga, D.U. & Andriamahefarivo, L.",Decreasing
211,Allophylus africanus,28600793,Allophylus africanus P. Beauv.,Species,,146217756,LC,NA,2020,14870400,1600,1800,10,14/02/2020,"Botanic Gardens Conservation International (BGCI), IUCN SSC Global Tree Specialist Group & Timberlake, J.R.","Marfleet, K.",Stable
214,Allophylus africanus var. africanus,50131804,Allophylus africanus var. africanus ,Variety,,,,,,,,,,,,,
215,Allophylus africanus var. griseotomentosus,50131803,Allophylus africanus var. griseotomentosus (Gilg) Verdc.,Variety,,,,,,,,,,,,,
220,Allophylus imenoensis,28601432,Allophylus imenoensis Pellegr.,Species,90895,174426676,EN,B2ab(iii),2021,10709,12,600,200,20/08/2020,"Paradis, A.-H. & StÈvart, T.","Texier, N., Bidault, E., Barber·, P., Simo-Droissart, M., Ikabanga, D.U. & Andriamahefarivo, L.",Unknown
223,Allophylus longicuneatus,28601411,Allophylus longicuneatus Vermoesen ex Hauman,Species,90903,174426681,NT,NA,2021,786870,60,1400,50,27/08/2020,"Paradis, A.-H. & StÈvart, T.","Hills, R.",Decreasing
224,Allophylus mayimbensis,28601439,Allophylus mayimbensis Pellegr.,Species,90907,174426745,EN,B2ab(iii),2021,9817,16,600,250,24/08/2020,"Paradis, A.-H. & StÈvart, T.","Hills, R.",Unknown
225,Allophylus ngounyensis,28601424,Allophylus ngounyensis Pellegr.,Species,90910,174426772,EN,B2ab(iii),2021,20897,16,1100,250,20/08/2020,"Paradis, A.-H. & StÈvart, T.","Hills, R.",Unknown
227,Allophylus poungouensis,28601428,Allophylus poungouensis Pellegr.,Species,90916,174426795,VU,"B2ab(i,ii,iii,iv,v)",2021,48415,28,900,200,24/08/2020,"Paradis, A.-H. & StÈvart, T.","Hills, R.",Decreasing
230,Allophylus zenkeri,28601429,Allophylus zenkeri Gilg ex Radlk.,Species,90936,110085807,VU,"B2ab(i,ii,iii)",2020,217740,28,650,140,06/02/2020,"Cheek, M. & Lovell, R.","Onana, J.-M.",Unknown
245,Alstonia boonei,1800022,Alstonia boonei De Wild.,Species,71439,60760752,LC,NA,2019,6165968,NA,1200,550,24/01/2019,"Hills, R.","Onana, J.-M.",Decreasing
246,Alstonia congensis,1805167,Alstonia congensis Engl.,Species,71440,60760828,LC,NA,2019,4848691,NA,500,0,29/01/2019,"Hills, R.","Onana, J.-M.",Decreasing
254,Amanoa bracteosa,50054767,Amanoa bracteosa Planch.,Species,107963,34644,LC,,2022,1635082,480,NA,NA,17/05/2021,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Onana, J.-M., Texier, N. & Stévart, T.",Stable
286,Amphimas ferrugineus,13049756,Amphimas ferrugineus Pellegr.,Species,70502,60761269,LC,NA,2019,1377940,NA,500,0,05/02/2019,"Hills, R.","Onana, J.-M.",Unknown
287,Amphimas pterocarpoides,13049759,Amphimas pterocarpoides Harms,Species,70503,60761332,LC,NA,2019,3870629.75,284.00,NA,NA,12/06/2018,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Oldfield, S.",Stable
288,Amphimas tessmannii,13049760,Amphimas tessmannii Harms,Species,70504,173467111,EN,B2ab(iii),2021,14132.2,12,700,100,15/10/2020,"Simo-Droissart, M., Texier, N. & StÈvart, T.","Andriamahefarivo, L., Bidault, E., Ikabanga, D.U., Lachenaud, O. & Paradis, A.-H.",Unknown
346,Aneulophus africanus,12500373,Aneulophus africanus Benth.,Species,13656,204678834,LC,,2022,846353,272,,,17/05/2021,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Onana, J.-M., Texier, N. & Stévart, T.",Stable
374,Angylocalyx oligophyllus,13055730,Angylocalyx oligophyllus Baker f.,Species,177398,144264153,LC,NA,2019,3448912.77,784.00,NA,NA,12/06/2018,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Oldfield, S.",Stable
375,Angylocalyx pynaertii,13055727,Angylocalyx pynaertii De Wild.,Species,70512,144248240,LC,NA,2019,1472781.35,192.00,NA,NA,12/06/2018,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Oldfield, S.",Stable
376,Angylocalyx talbotii,13055736,Angylocalyx talbotii Hutch. & Dalziel,Species,70513,45881,LC,,2022,320000,176,NA,NA,17/05/2021,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Onana, J.-M., Texier, N. & Stévart, T.",Stable
7356,Anisophyllea biokoensis,100463429,"Anisophyllea biokoensis Li Bing Zhang, X. Chen & H. He",Species,234688,167727358,EN,B2ab(iii),2020,5000-15000,12,100,NA,22/04/2020,"Harvey-Brown, Y.","StÈvart, T.",Decreasing
380,Anisophyllea laurina,27600191,Anisophyllea laurina R. Br. ex Sabine,Species,11890,173337251,LC,NA,2021,1498469.1,NA,1100,10,16/04/2021,"Simo-Droissart, M., Texier, N., Barber·, P., Andriamahefarivo, L. & StÈvart, T.","Hills, R.",Decreasing
381,Anisophyllea meniaudii,50052076,,Species,11892,204805185,LC,,2022,2881436,256,,,17/05/2021,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Onana, J.-M., Texier, N. & Stévart, T.",Stable
382,Anisophyllea myriosticta,50087918,Anisophyllea myriosticta Floret,Species,11893,204805283,LC,,2022,284208,180,,,17/05/2021,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Onana, J.-M., Texier, N. & Stévart, T.",Stable
383,Anisophyllea myriostictoides,100463437,"Anisophyllea myriostictoides Li Bing Zhang, X. Chen & H. He",Species,234696,167728445,EN,B2ab(iii),2020,NA,8,200,NA,22/04/2020,"Harvey-Brown, Y.","StÈvart, T.",Unknown
384,Anisophyllea polyneura,27600203,Anisophyllea polyneura Floret,Species,11895,204818239,LC,,2022,2198373,588,,,17/05/2021,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Onana, J.-M., Texier, N. & Stévart, T.",Stable
385,Anisophyllea purpurascens,27600114,Anisophyllea purpurascens Hutch. & Dalziel,Species,11896,170123770,LC,NA,2020,269866.74,288.00,NA,NA,12/06/2018,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Wieringa, J.",Stable
387,Anisophyllea sororia,27600205,Anisophyllea sororia Pierre,Species,11898,204811250,LC,,2022,1551044,132,,,17/05/2021,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Onana, J.-M., Texier, N. & Stévart, T.",Stable
395,Annickia affinis,100289429,Annickia affinis (Exell) Versteegh & Sosef,Species,222971,132512369,LC,NA,2019,1709511,464,650,30,30/07/2018,"Cosiaux, A., Couvreur, T.L.P. & Erkens, R.H.J.","Rivers, M.C.",Unknown
396,Annickia ambigua,1601409,Annickia ambigua (Robyns & Ghesq.) Setten & Maas,Species,6757,132512525,LC,NA,2019,638638,96,750,300,30/07/2018,"Cosiaux, A., Couvreur, T.L.P. & Erkens, R.H.J.","Onana, J.-M.",Unknown
399,Annickia lebrunii,1601414,Annickia lebrunii (Robyns & Ghesq.) Setten & Maas,Species,6761,132513298,VU,B2ab(iii),2019,454986,36,1200,700,02/08/2018,"Cosiaux, A., Couvreur, T.L.P. & Erkens, R.H.J.","Onana, J.-M.",Unknown
400,Annickia letestui,1601415,Annickia letestui (Le Thomas) Setten & Maas,Species,6762,132513323,LC,NA,2019,143552,52,700,300,03/08/2018,"Cosiaux, A., Couvreur, T.L.P. & Erkens, R.H.J.","Onana, J.-M.",Unknown
401,Annickia pilosa,1601417,Annickia pilosa (Exell) Setten & Maas,Species,6764,132513395,LC,NA,2019,195384,52,400,90,03/08/2018,"Cosiaux, A., Couvreur, T.L.P. & Erkens, R.H.J.","Onana, J.-M.",Unknown
405,Annona senegalensis,1601481,Annona senegalensis Pers.,Species,,136996621,LC,NA,2019,17897418.46,3940.00,NA,NA,12/06/2018,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Smith, P.",Stable
406,Annona senegalensis subsp. oulotricha,1600960,Annona senegalensis subsp. oulotricha Le Thomas,Subspecies,,,,,,,,,,,,,
408,Annona senegalensis subsp. senegalensis,1600961,Annona senegalensis subsp. senegalensis ,Subspecies,,,,,,,,,,,,,
6788,Anonidium brieyi,1600964,Anonidium brieyi De Wild.,Species,30907,173337371,NT,NA,2021,166455,68,350,50,01/11/2020,"Texier, N. & StÈvart, T.","Bidault, E., Lachenaud, O., Andriamahefarivo, L., Paradis, A.-H. & Simo-Droissart, M.",Decreasing
410,Anonidium floribundum,1600965,Anonidium floribundum Pellegr.,Species,6767,136996748,LC,NA,2021,75781,NA,NA,NA,10/09/2020,"Rivers, M.C.","Couvreur, T.L.P.",Unknown
411,Anonidium letestui,1600967,Anonidium letestui Pellegr.,Species,6768,136997930,EN,B2ab(iii),2019,33173,20,620,320,20/12/2018,"Cosiaux, A., Couvreur, T.L.P. & Erkens, R.H.J.","Onana, J.-M.",Unknown
412,Anonidium mannii,1600968,Anonidium mannii (Oliv.) Engl. & Diels,Species,177426,61205379,LC,NA,2019,2628203.31,472,NA,NA,12/06/2018,"Harvey-Brown, Y.","Cosiaux, A.",Stable
415,Anopyxis klaineana,27600106,Anopyxis klaineana (Pierre) Engl.,Species,83736,33036,VU,A1cd,1998,NA,NA,NA,NA,01/01/1998,"Hawthorne, W.",0,NA
422,Anthocleista liebrechtsiana,19000668,Anthocleista liebrechtsiana De Wild. & T. Durand,Species,,204805351,LC,,2022,4904894,200,,,17/05/2021,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Onana, J.-M., Texier, N. & Stévart, T.",Stable
423,Anthocleista nobilis,50075079,Anthocleista nobilis G. Don,Species,10187,136110991,LC,NA,2018,453441.79,244.00,NA,NA,12/06/2018,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Vroh, B.",Stable
426,Anthocleista schweinfurthii,19000674,Anthocleista schweinfurthii Gilg,Species,10196,153943091,LC,NA,2020,6394960.54,384.00,1800,400,12/06/2018,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Timberlake, J.R.",Stable
427,Anthocleista vogelii,19000676,Anthocleista vogelii Planch.,Species,10195,153936170,LC,NA,2020,6111909.94,880.00,1500,NA,12/06/2018,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Timberlake, J.R.",Stable
428,Anthonotha acuminata,13050940,Anthonotha acuminata (De Wild.) Léonard,Species,70384,173467555,LC,,2022,1057938,208,,,17/05/2021,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Onana, J.-M., Texier, N. & Stévart, T.",Stable
429,Anthonotha brieyi,13050941,Anthonotha brieyi (De Wild.) J. Léonard,Species,70385,173467770,LC,,2022,234371,128,,,17/05/2021,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Onana, J.-M., Texier, N. & Stévart, T.",Stable
431,Anthonotha crassifolia,13050923,Anthonotha crassifolia (Baill.) J. Léonard,Species,70402,144277466,LC,NA,2019,1305295.18,220.00,NA,NA,12/06/2018,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Oldfield, S.",Stable
432,Anthonotha ferruginea,13050927,Anthonotha ferruginea (Harms) J. Léonard,Species,70387,19892135,LC,NA,2012,300000,NA,650,0,09/07/2009,"Contu, S.","Hilton-Taylor, C.",Stable
433,Anthonotha fragrans,13050928,Anthonotha fragrans (Baker f.) Exell & Hillc.,Species,70388,144295945,LC,NA,2019,4000244.04,384.00,NA,NA,12/06/2018,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Oldfield, S.",Stable
434,Anthonotha lamprophylla,13050931,Anthonotha lamprophylla (Harms) J. Léonard,Species,70390,173468077,LC,,2022,331555,212,,,17/05/2021,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Onana, J.-M., Texier, N. & Stévart, T.",Stable
435,Anthonotha macrophylla,13046717,Anthonotha macrophylla P. Beauv.,Species,70391,144276227,LC,NA,2019,4187643.46,1372.00,NA,NA,12/06/2018,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Oldfield, S.",Stable
436,Anthonotha mouandzae,50324445,Anthonotha mouandzae Breteler,Species,231919,173467232,EN,B2ab(iii),2020,6723,24,200,0,12/05/2020,"Paradis, A.-H., Bidault, E., Texier, N. & StÈvart, T.","Ikabanga, D.U., Boupoya, A., Bouka, D.U.G., Simo-Droissart, M. & Andriamahefarivo, L.",Unknown
437,Anthonotha pellegrinii,13056409,Anthonotha pellegrinii Aubrév.,Species,70393,173467260,EN,B2ab(iii),2021,NA,8,300,0,13/10/2020,"Simo-Droissart, M., Texier, N. & StÈvart, T.","Andriamahefarivo, L., Bidault, E., Ikabanga, D.U., Lachenaud, O. & Paradis, A.-H.",Unknown
438,Anthonotha pynaertii,13050939,Anthonotha pynaertii (De Wild.) Exell & Hillc.,Species,70394,144249874,LC,NA,2019,2136330.42,148.00,NA,NA,12/06/2018,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Oldfield, S.",Stable
439,Anthonotha stipulacea,13050936,Anthonotha stipulacea J. Léonard,Species,70396,19892952,NT,NA,2012,39000,NA,350,0,07/07/2009,"Contu, S.","Hilton-Taylor, C.",Unknown
440,Anthonotha trunciflora,13050937,Anthonotha trunciflora J. Léonard,Species,70397,173468983,LC,,2022,66854,108,,,17/05/2021,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Onana, J.-M., Texier, N. & Stévart, T.",Stable
442,Anthostema aubryanum,12804085,Anthostema aubryanum Baill.,Species,107966,143723112,LC,NA,2019,645931.41,208.00,NA,NA,12/06/2018,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Timberlake, J.R.",Stable
443,Antiaris toxicaria,21300876,Antiaris toxicaria Lesch.,Species,129623,61210500,LC,NA,2020,NA,NA,1800,0,26/09/2019,"Oldfield, S.","Barstow, M.",Stable
446,Antidesma laciniatum,12805757,Antidesma laciniatum Müll. Arg.,Species,129155,156093345,LC,NA,2020,4470895.29,1156.00,1200,NA,12/06/2018,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Cheek, M. & van der Burgt, X.",Stable
450,Antidesma venosum,12802883,Antidesma venosum E. Mey. ex Tul.,Species,,146217455,LC,NA,2019,38022685.63,2744.00,NA,NA,12/06/2018,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Smith, P.",Stable
451,Antidesma vogelianum,12804090,Antidesma vogelianum Müll. Arg.,Species,107250,,,,,,,,,,,,
453,Antrocaryon klaineanum,1300652,Antrocaryon klaineanum Pierre,Species,6082,61210559,LC,,2022,504750,420,,,17/05/2021,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Onana, J.-M., Texier, N. & Stévart, T.",Stable
455,Antrocaryon nannanii,1300654,Antrocaryon nannanii De Wild.,Species,6083,137401941,LC,NA,2021,1525078,168,900,300,23/01/2020,"Ikabanga, D.U., Simo-Droissart, M. & Tack, W.","Gereau, R.E. & StÈvart, T.",Decreasing
467,Aoranthe cladantha,50191054,Aoranthe cladantha (K. Schum.) Somers,Species,89533,143722675,LC,NA,2019,2394647.31,564.00,NA,NA,12/06/2018,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Timberlake, J.R.",Stable
468,Aoranthe nalaensis,50191055,Aoranthe nalaensis (De Wild.) Somers,Species,89534,,,,,,,,,,,,
469,Aphanocalyx cynometroides,13046927,Aphanocalyx cynometroides Oliv.,Species,67586,144288882,LC,NA,2019,848597.32,136.00,NA,NA,12/06/2018,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Oldfield, S.",Stable
470,Aphanocalyx djumaensis,13046975,Aphanocalyx djumaensis (De Wild.) J. Léonard,Species,67587,200535631,LC,,2022,506128,168,,,17/05/2021,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Onana, J.-M., Texier, N. & Stévart, T.",Stable
471,Aphanocalyx heitzii,50202770,Aphanocalyx heitzii (Pellegr.) Wieringa,Species,67591,,,,,,,,,,,,
472,Aphanocalyx jenseniae,50202748,Aphanocalyx jenseniae (Gram) Wieringa,Species,67592,173475922,EN,B2ab(iii),2021,134513.8,20,830,500,13/11/2020,"Simo-Droissart, M., Texier, N. & StÈvart, T.","Andriamahefarivo, L., Bidault, E., Ikabanga, D.U., Lachenaud, O. & Paradis, A.-H.",Unknown
473,Aphanocalyx ledermannii,50202750,Aphanocalyx ledermannii (Harms) Wieringa,Species,67593,,,,,,,,,,,,
474,Aphanocalyx margininervatus,13046974,Aphanocalyx margininervatus J. Léonard,Species,67588,144258645,LC,NA,2019,275266.83,136.00,NA,NA,12/06/2018,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Oldfield, S.",Stable
475,Aphanocalyx microphyllus,50202754,Aphanocalyx microphyllus (Harms) Wieringa,Species,177024,144309408,LC,NA,2019,1745458.99,472.00,NA,NA,12/06/2018,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Oldfield, S.",Stable
476,Aphanocalyx microphyllus subsp. microphyllus,50331219,Aphanocalyx microphyllus subsp. microphyllus Wieringa,Subspecies,,,,,,,,,,,,,
477,Aphanocalyx obscurus,50202761,Aphanocalyx obscurus Wieringa,Species,67596,137522873,NT,NA,2021,323220,60,500,400,29/05/2019,"Ikabanga, D.U., Simo-Droissart, M. & Tack, W.","StÈvart, T. & Gereau, R.E.",Decreasing
478,Aphanocalyx pectinatus,50331224,Aphanocalyx pectinatus (A. Chev.) Wieringa,Species,67597,173476157,EN,B2ab(iii),2021,22673,28,840,300,07/05/2020,"Paradis, A.-H., Bidault, E., Texier, N. & StÈvart, T.","Hills, R. & Mboma, R.",Unknown
482,Aporrhiza lastoursvillensis,50177537,Aporrhiza lastoursvillensis Pellegr.,Species,91111,174426919,EN,B2ab(iii),2020,6301,20,500,300,13/05/2020,"Paradis, A.-H., Ikabanga, D.U., Texier, N. & StÈvart, T.","Bidault, E., Bouka, D.U.G., Boupoya, A., Simo-Droissart, M. & Andriamahefarivo, L.",Unknown
483,Aporrhiza letestui,50177538,Aporrhiza letestui Pellegr.,Species,91112,174426948,EN,"B2ab(i,ii,iii,iv,v)",2020,NA,8,650,600,18/05/2020,"Paradis, A.-H., Bidault, E., Texier, N. & StÈvart, T.","Ikabanga, D.U., Boupoya, A., Bouka, D.U.G., Simo-Droissart, M. & Andriamahefarivo, L.",Decreasing
487,Aporrhiza urophylla,50090302,Aporrhiza urophylla Gilg,Species,91118,,,,,,,,,,,,
488,Aptandra zenkeri,22900194,Aptandra zenkeri Engl.,Species,17751,143724273,LC,NA,2019,2779637.16,360.00,NA,NA,12/06/2018,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Timberlake, J.R.",Stable
521,Aristogeitonia gabonica,50276956,Aristogeitonia gabonica Breteler,Species,127622,203778,CR,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",2016,4,4,5,0,06/10/2012,"Walters, G. & StÈvart, T.","Hilton-Taylor, C.",Decreasing
594,Astropanax barteri,2200642,Astropanax barteri Seem.,Species,59211,,,,,,,,,,,,
606,Aubletiana leptostachys,50181709,Aubletiana leptostachys (Breteler) J. Murillo,Species,240049,,,,,,,,,,,,
607,Aubletiana macrostachys,50181711,Aubletiana macrostachys (Breteler) J. Murillo,Species,240050,37496,LC,,2022,74292,208,NA,NA,17/05/2021,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Onana, J.-M., Texier, N. & Stévart, T.",Stable
608,Aubrevillea platycarpa,13054765,Aubrevillea platycarpa Pellegr.,Species,70199,,,,,,,,,,,,
609,Aucoumea klaineana,4700329,Aucoumea klaineana Pierre,Species,7730,33213,VU,A1cd,1998,NA,NA,NA,NA,01/01/1998,"White, L.",0,NA
611,Augouardia letestui,13046965,Augouardia letestui Pellegr.,Species,70200,,,,,,,,,,,,
614,Aulacocalyx jasminiflora,27908847,Aulacocalyx jasminiflora Hook. f.,Species,177619,137990686,LC,NA,2021,4283854,704,1500,0,23/05/2019,"Ntore, S., Simo-Droissart, M. & Tack, W.","Gereau, R.E. & Sosef, M.S.M.",Decreasing
615,Aulacocalyx jasminiflora subsp. jasminiflora,50332298,Aulacocalyx jasminiflora subsp. jasminiflora ,Subspecies,,,,,,,,,,,,,
6789,Aulacocalyx pallens,50332400,Aulacocalyx pallens (Hiern) Bridson & Figueiredo,Species,129352,62863,VU,"B2ab(i,ii,iii,iv,v)",2021,1047370,68,1100,180,30/11/2020,"Paradis, A.-H. & StÈvart, T.","Ikabanga, D.U., Texier, N., Bidault, E., Simo-Droissart, M. & Andriamahefarivo, L.",Decreasing
617,Aulacocalyx pallens subsp. letestui,50332334,Aulacocalyx pallens subsp. letestui Figueiredo,Subspecies,,174411344,VU,B2ab(iii),2021,501292,28,750,180,01/12/2020,"Paradis, A.-H. & StÈvart, T.","Ikabanga, D.U., Texier, N., Bidault, E., Simo-Droissart, M. & Andriamahefarivo, L.",Unknown
618,Aulacocalyx subulata,50332408,Aulacocalyx subulata (N. Hallé) Figueiredo,Species,177618,,,,,,,,,,,,
622,Autranella congolensis,28700861,Autranella congolensis (De Wild.) A. Chev.,Species,91769,33038,EN,A3d,2021,2419273,NA,NA,NA,23/11/2020,"Hills, R.","Onana, J.-M., van der Burgt, X., Doucet, J., Tosso, F. & StÈvart, T.",Decreasing
626,Avicennia germinans,33702454,Avicennia germinans (L.) L.,Species,48256,178811,LC,NA,2010,NA,NA,NA,NA,21/03/2007,"Ellison, A., Farnsworth, E. & Moore, G.","Polidoro, B.A., Livingstone, S.R. & Carpenter, K.E. (Global Marine Species Assessment Coordinating Team)",Decreasing
