acceptedTaxonKey,accepetedTaxonName,TropicosNameID,FullNameWithAuthors,taxonRank,id_name_APD,taxonid_IUCN,redlistCategory,redlistCriteria,yearPublished,EOO,AOO,elevation_upper,elevation_lower,assessmentDate,assessor,reviewer,populationTrend
1516,Cola lizae,30401536,Cola lizae N. Hallé,Species,120912,37494,LR/nt,NA,1998,NA,NA,NA,NA,01/01/1998,World Conservation Monitoring Centre,0,NA
1517,Cola mahoundensis,30401579,Cola mahoundensis Pellegr.,Species,120914,111395374,VU,B2ab(iii),2019,87621,28,755,300,22/01/2019,"Cheek, M., Baldwin, I. & Lawrence, P.","Onana, J.-M.",Decreasing
1518,Cola marsupium,30401571,Cola marsupium K. Schum.,Species,120915,111395388,LC,NA,2019,2002636,304,600,0,19/07/2018,"Cheek, M. & Lawrence, P.","Onana, J.-M.",Unknown
1519,Cola mayimbensis,30401763,Cola mayimbensis Pellegr.,Species,120916,21563686,EN,B1ab(iii)+2ab(iii),2019,1767,20,850,350,23/01/2019,"Cheek, M. & Baldwin, I.","Onana, J.-M.",Decreasing
1523,Cola pachycarpa,30401572,Cola pachycarpa K. Schum.,Species,120927,111397554,LC,NA,2019,345768,324,800,0,31/07/2018,"Lawrence, P. & Cheek, M.","Onana, J.-M.",Unknown
1524,Cola rostrata,30401574,Cola rostrata K. Schum.,Species,120935,111397976,LC,NA,2019,419548,192,500,0,01/08/2018,"Cheek, M. & Lawrence, P.","Onana, J.-M.",Unknown
1525,Cola stigmatosa,100476841,Cola stigmatosa Breteler,Species,232657,111398368,CR,"B1ab(i,ii,iii)+2ab(i,ii,iii)",2019,10.00,4.00,100,NA,27/02/2019,"Cheek, M. & Baldwin, I.","Diop, F.N.",Unknown
1526,Cola tsandensis,30401678,Cola tsandensis Pellegr.,Species,120945,,,,,,,,,,,,
1529,Cola verticillata,30401576,Cola verticillata (Thonn.) Stapf ex A. Chev.,Species,120950,,,,,,,,,,,,
1533,Colletoecema gabonensis,100379012,Colletoecema gabonensis Dessein & O. Lachenaud,Species,224745,174411674,EN,B2ab(iii),2020,10825,12,750,400,28/05/2020,"Paradis, A.-H., Ikabanga, D.U., Bidault, E., Texier, N. & StÈvart, T.","Bouka, D.U.G., Boupoya, A., Simo-Droissart, M. & Andriamahefarivo, L.",Unknown
1591,Comiphyton gabonense,50094482,Comiphyton gabonense Floret,Species,11910,174411264,NT,NA,2021,732187,52,1400,80,31/08/2020,"Paradis, A.-H. & StÈvart, T.","Hills, R.",Unknown
1619,Copaifera mildbraedii,13045653,Copaifera mildbraedii Harms,Species,63554,62021772,LC,NA,2019,1379497.67,220.00,NA,NA,12/06/2018,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Oldfield, S.",Stable
